Vote;;;ALDE;;;;ECR;;;;EFDD;;;;ENF;;;;GUE/NGL;;;;NI;;;;PPE;;;;S&D;;;;Verts/ALE;;;
vote_year;vote_date;vote_name;ABST;CONTRE;POUR;Total;ABST;CONTRE;POUR;Total ECR;ABST;CONTRE;POUR;Total EFDD;ABST;CONTRE;POUR;Total ENF;ABST;CONTRE;POUR;Total GUE/NGL;ABST;CONTRE;POUR;Total NI;ABST;CONTRE;POUR;Total PPE;ABST;CONTRE;POUR;Total S&D;ABST;CONTRE;POUR;Total Verts/ALE
2017;15/11/2017;11. B8-0597/2017 RÇsolution 15/11/2017;1;;60;61;24;;43;67;2;18;21;41;17;7;8;32;2;3;42;47;3;6;8;17;;;201;201;118;15;38;171;;;45;45
2017;15/11/2017;12. B8-0593/2017 Am 1 15/11/2017;;58;2;60;;66;1;67;1;29;11;41;6;26;;32;;1;46;47;4;10;3;17;;198;;198;3;164;3;170;;1;44;45
2017;15/11/2017;13. B8-0593/2017 Am 2S 15/11/2017;;61;;61;;65;1;66;1;35;4;40;18;12;2;32;;;48;48;3;7;7;17;1;199;;200;3;165;2;170;;1;43;44
2017;15/11/2017;14. B8-0593/2017 Am 3 15/11/2017;;61;;61;1;65;1;67;2;20;19;41;16;8;8;32;;;48;48;3;11;3;17;;200;;200;2;166;4;172;;1;44;45
2017;15/11/2017;15. B8-0593/2017 RÇsolution 15/11/2017;;;61;61;;2;63;65;19;4;18;41;22;10;;32;30;18;;48;1;12;4;17;;2;195;197;3;;166;169;37;5;3;45
2017;15/11/2017;16. A8-0308/2017 Laima Liucija Andrikien? et Knut Fleckenstein ı 1 (p)/2 15/11/2017;1;1;58;60;;1;66;67;1;21;18;40;5;26;1;32;8;35;5;48;5;9;3;17;3;14;177;194;8;4;160;172;1;;41;42
2017;15/11/2017;17. A8-0308/2017 Laima Liucija Andrikien? et Knut Fleckenstein ı 1 (s)/3 15/11/2017;3;2;56;61;;3;64;67;;41;;41;;32;;32;1;46;1;48;;14;3;17;1;1;194;196;11;2;161;174;4;;40;44
2017;15/11/2017;18. A8-0308/2017 Laima Liucija Andrikien? et Knut Fleckenstein ı 1 (ac)/2 15/11/2017;;2;58;60;2;4;60;66;;39;2;41;;32;;32;1;47;;48;;13;4;17;1;1;191;193;5;5;160;170;;;44;44
2017;15/11/2017;19. A8-0308/2017 Laima Liucija Andrikien? et Knut Fleckenstein ConsidÇrant K/2 15/11/2017;2;3;55;60;1;1;65;67;1;20;20;41;2;30;;32;7;36;5;48;3;10;4;17;8;9;179;196;10;2;158;170;1;;43;44
2017;15/11/2017;2. A8-0236/2017 Salvatore Cicu Am 22 15/11/2017;;;61;61;;;66;66;13;27;1;41;24;6;2;32;37;9;2;48;1;6;10;17;3;;197;200;;;172;172;2;;43;45
2017;15/11/2017;20. A8-0308/2017 Laima Liucija Andrikien? et Knut Fleckenstein Recommendation 15/11/2017;3;;57;60;;1;66;67;17;24;;41;;31;1;32;5;43;;48;;13;4;17;12;1;186;199;9;1;163;173;1;;42;43
2017;15/11/2017;21. B8-0589/2017 RÇsolution 15/11/2017;;1;59;60;2;;64;66;18;1;22;41;7;6;19;32;;2;46;48;;6;11;17;5;17;175;197;;;174;174;3;;42;45
2017;15/11/2017;22. B8-0595/2017 ı 1/2 15/11/2017;;;60;60;50;;15;65;20;2;19;41;1;23;8;32;;1;47;48;7;4;6;17;;;200;200;;;170;170;;;43;43
2017;15/11/2017;23. B8-0595/2017 Am 9 15/11/2017;1;59;1;61;4;7;55;66;14;;27;41;;5;27;32;6;42;;48;;1;14;15;1;197;2;200;;170;1;171;;44;;44
2017;15/11/2017;24. B8-0595/2017 Am 11S 15/11/2017;1;58;2;61;4;11;51;66;16;;24;40;2;;30;32;3;45;;48;1;3;11;15;;197;1;198;;170;;170;;43;;43
2017;15/11/2017;25. B8-0595/2017 Am 12S 15/11/2017;2;58;1;61;4;9;52;65;18;;22;40;1;3;28;32;;48;;48;2;1;12;15;;198;;198;;167;;167;;43;;43
2017;15/11/2017;26. B8-0595/2017 ı 10 15/11/2017;1;2;56;59;1;57;8;66;1;26;14;41;2;30;;32;2;2;41;45;2;13;2;17;17;10;171;198;;3;164;167;;;45;45
2017;15/11/2017;27. B8-0595/2017 Am 2 15/11/2017;2;59;;61;2;62;1;65;1;38;1;40;;31;;31;4;;41;45;;14;3;17;2;195;1;198;6;144;18;168;4;37;2;43
2017;15/11/2017;28. B8-0595/2017 Am 6/1 15/11/2017;;57;4;61;16;35;14;65;37;3;1;41;4;27;1;32;2;;46;48;3;11;3;17;20;127;48;195;3;2;161;166;;;45;45
2017;15/11/2017;29. B8-0595/2017 Am 6/2 15/11/2017;2;1;57;60;17;33;15;65;35;3;3;41;5;27;;32;2;;46;48;3;9;5;17;20;127;50;197;;;164;164;1;;43;44
2017;15/11/2017;3. B8-0597/2017 Am 2 15/11/2017;;59;1;60;;63;3;66;1;21;16;38;22;7;3;32;;;48;48;4;7;6;17;;196;4;200;2;1;170;173;;;45;45
2017;15/11/2017;30. B8-0595/2017 Am 7 15/11/2017;5;2;54;61;11;32;23;66;21;4;14;39;3;27;2;32;;;48;48;3;11;3;17;12;127;56;195;3;3;162;168;;1;44;45
2017;15/11/2017;31. B8-0595/2017 Am 3 15/11/2017;3;49;8;60;22;31;11;64;20;6;12;38;3;29;;32;2;;46;48;3;12;2;17;13;160;25;198;17;11;134;162;;;45;45
2017;15/11/2017;32. B8-0595/2017 ı 12 15/11/2017;;1;60;61;1;54;8;63;4;20;16;40;2;27;2;31;1;;44;45;5;8;4;17;1;5;190;196;1;1;167;169;;;45;45
2017;15/11/2017;33. B8-0595/2017 ı 13 15/11/2017;1;;59;60;1;54;9;64;18;5;17;40;2;29;1;32;2;;46;48;5;9;3;17;1;5;190;196;;;168;168;;;45;45
2017;15/11/2017;34. B8-0595/2017 Am 15 15/11/2017;4;56;1;61;5;8;52;65;13;1;27;41;;;32;32;3;44;1;48;;2;15;17;1;193;3;197;1;169;;170;;44;1;45
2017;15/11/2017;35. B8-0595/2017 ı 14 15/11/2017;2;2;54;58;2;55;6;63;13;25;2;40;;32;;32;4;4;40;48;;17;;17;6;49;141;196;2;6;161;169;;;44;44
2017;15/11/2017;36. B8-0595/2017 ı 15 15/11/2017;4;2;55;61;1;55;7;63;;24;17;41;4;27;1;32;5;8;35;48;;16;1;17;1;16;182;199;;;166;166;;1;44;45
2017;15/11/2017;37. B8-0595/2017 Am 4 15/11/2017;6;1;54;61;16;30;17;63;34;4;1;39;3;29;;32;;;48;48;4;8;5;17;14;129;53;196;;2;165;167;;;44;44
2017;15/11/2017;38. B8-0595/2017 ConsidÇrant D 15/11/2017;2;;58;60;56;;6;62;;22;19;41;6;23;2;31;5;3;40;48;6;10;1;17;1;;194;195;;;167;167;;;45;45
2017;15/11/2017;39. B8-0595/2017 ConsidÇrant H/2 15/11/2017;4;;57;61;7;51;6;64;15;26;;41;2;30;;32;6;;42;48;3;14;;17;17;3;175;195;;;166;166;;;45;45
2017;15/11/2017;4. B8-0597/2017 Am 8 15/11/2017;;1;59;60;1;58;8;67;1;22;17;40;5;26;1;32;5;28;15;48;4;12;1;17;4;;195;199;9;;165;174;;;45;45
2017;15/11/2017;40. B8-0595/2017 Am 5 15/11/2017;4;1;56;61;13;30;19;62;20;8;13;41;4;28;;32;4;;43;47;1;11;4;16;7;140;47;194;1;1;164;166;;1;43;44
2017;15/11/2017;41. B8-0595/2017 RÇsolution 15/11/2017;5;1;55;61;1;56;7;64;15;25;;40;1;30;;31;6;3;38;47;2;14;;16;29;23;138;190;10;;157;167;2;;43;45
2017;15/11/2017;5. B8-0597/2017 Am 9 15/11/2017;;58;2;60;2;56;8;66;17;5;19;41;1;6;25;32;;;48;48;2;8;7;17;3;183;12;198;1;133;33;167;;;45;45
2017;15/11/2017;6. B8-0597/2017 Am 5 15/11/2017;;;61;61;;59;8;67;;25;16;41;5;27;;32;35;5;8;48;4;11;2;17;7;1;192;200;2;5;166;173;;;45;45
2017;15/11/2017;7. B8-0597/2017 Am 6 15/11/2017;;60;1;61;1;58;8;67;2;24;15;41;2;23;7;32;4;1;42;47;3;11;3;17;1;192;7;200;5;4;163;172;;;45;45
2017;15/11/2017;8. B8-0597/2017 Am 7 15/11/2017;;58;3;61;;59;8;67;22;3;16;41;19;5;7;31;;;48;48;1;9;7;17;;189;11;200;5;123;45;173;;;45;45
2017;15/11/2017;9. B8-0597/2017 ConsidÇrant Z/1 15/11/2017;;;60;60;;3;64;67;17;2;22;41;1;6;25;32;;;48;48;;6;10;16;;;200;200;1;5;165;171;;;44;44
2017;16/11/2017;1. RC-B8-0634/2017 Am 7 16/11/2017;;56;1;57;1;52;5;58;12;3;16;31;18;12;2;32;;;37;37;2;9;6;17;;169;3;172;1;146;9;156;;;36;36
2017;16/11/2017;10. A8-0327/2017 Charles Tannock Approbation 16/11/2017;;;58;58;;1;59;60;2;11;20;33;9;21;2;32;27;11;1;39;;7;10;17;2;;175;177;;3;153;156;;3;33;36
2017;16/11/2017;11. A8-0333/2017 Charles Tannock RÇsolution 16/11/2017;;;58;58;;2;58;60;2;11;20;33;11;22;;33;27;12;;39;3;8;6;17;2;1;174;177;8;;148;156;26;1;9;36
2017;16/11/2017;12. A8-0334/2017 Maurice Ponga RÇsolution 16/11/2017;3;;54;57;23;4;32;59;15;15;3;33;3;30;;33;6;31;1;38;1;13;3;17;19;3;152;174;7;;147;154;8;1;27;36
2017;16/11/2017;13. A8-0328/2017 Marlene Mizzi Am 2 16/11/2017;;58;;58;19;1;39;59;1;;32;33;18;;15;33;3;;36;39;6;1;10;17;;172;4;176;2;152;2;156;;;36;36
2017;16/11/2017;14. A8-0328/2017 Marlene Mizzi Am 8/1 16/11/2017;;1;57;58;;19;41;60;11;1;20;32;1;1;31;33;;;39;39;2;2;13;17;;1;176;177;;;157;157;;;36;36
2017;16/11/2017;15. A8-0328/2017 Marlene Mizzi Am 9/1 16/11/2017;3;2;52;57;7;20;33;60;13;;20;33;2;;31;33;1;;36;37;;3;14;17;;173;3;176;;1;155;156;;;35;35
2017;16/11/2017;16. A8-0328/2017 Marlene Mizzi Am 9/2 16/11/2017;;53;2;55;2;26;32;60;12;1;20;33;1;25;7;33;;;37;37;3;2;12;17;;172;3;175;;151;6;157;;;36;36
2017;16/11/2017;17. A8-0328/2017 Marlene Mizzi RÇsolution 16/11/2017;;;57;57;44;2;14;60;14;;19;33;3;20;8;31;3;;36;39;8;5;4;17;;1;170;171;;;157;157;;;36;36
2017;16/11/2017;18. A8-0340/2017 Javi L¢pez ı 5/1 16/11/2017;3;6;47;56;51;5;4;60;;14;19;33;;25;6;31;3;;35;38;4;6;7;17;6;;168;174;;;157;157;;;36;36
2017;16/11/2017;19. A8-0340/2017 Javi L¢pez ı 5/2 16/11/2017;1;10;46;57;;57;3;60;14;16;3;33;5;28;;33;24;11;4;39;;12;5;17;;143;30;173;;;157;157;;;32;32
2017;16/11/2017;2. RC-B8-0634/2017 Am 6 16/11/2017;;56;;56;;60;1;61;2;14;15;31;;33;;33;4;;35;39;1;13;3;17;;175;;175;2;149;6;157;;;37;37
2017;16/11/2017;20. A8-0340/2017 Javi L¢pez ı 8 16/11/2017;7;3;46;56;2;54;3;59;15;17;1;33;8;8;17;33;12;6;20;38;;8;9;17;5;166;3;174;;;157;157;;;36;36
2017;16/11/2017;21. A8-0340/2017 Javi L¢pez ı 12/1 16/11/2017;2;11;43;56;;55;5;60;16;16;1;33;;33;;33;3;7;27;37;;14;3;17;5;4;165;174;1;;155;156;3;;33;36
2017;16/11/2017;22. A8-0340/2017 Javi L¢pez ı 12/2 16/11/2017;;45;12;57;;55;5;60;1;31;1;33;;33;;33;2;7;26;35;;13;4;17;;136;37;173;1;;153;154;;3;33;36
2017;16/11/2017;23. A8-0340/2017 Javi L¢pez Am 1 16/11/2017;;44;13;57;2;55;3;60;;14;19;33;2;8;23;33;;;37;37;3;10;4;17;1;160;13;174;1;1;152;154;;;36;36
2017;16/11/2017;24. A8-0340/2017 Javi L¢pez ı 20/1 16/11/2017;2;3;52;57;18;40;1;59;;16;17;33;;26;7;33;;3;34;37;1;9;7;17;1;5;168;174;;;154;154;;;36;36
2017;16/11/2017;25. A8-0340/2017 Javi L¢pez ı 20/2 16/11/2017;;57;;57;2;55;3;60;15;17;1;33;6;25;2;33;;3;34;37;2;11;4;17;4;163;4;171;;2;152;154;;;36;36
2017;16/11/2017;26. A8-0340/2017 Javi L¢pez ı 35/1 16/11/2017;3;18;36;57;27;31;2;60;;13;20;33;6;26;1;33;3;;34;37;3;5;8;16;;19;152;171;;;151;151;;;35;35
2017;16/11/2017;27. A8-0340/2017 Javi L¢pez ı 35/2 16/11/2017;5;32;20;57;2;53;3;58;;16;17;33;6;27;;33;1;4;32;37;;13;3;16;2;159;11;172;;2;150;152;;3;33;36
2017;16/11/2017;28. A8-0340/2017 Javi L¢pez ı 38/1 16/11/2017;2;42;13;57;3;55;1;59;;14;19;33;6;10;17;33;1;;31;32;1;10;5;16;;2;168;170;;2;150;152;;;34;34
2017;16/11/2017;29. A8-0340/2017 Javi L¢pez ı 38/2 16/11/2017;1;45;11;57;2;50;6;58;;13;17;30;7;25;;32;1;;33;34;;9;6;15;;140;25;165;;2;151;153;;;35;35
2017;16/11/2017;3. RC-B8-0634/2017 Am 3 16/11/2017;;56;;56;1;59;1;61;2;14;16;32;;33;;33;2;;37;39;3;13;1;17;;174;;174;3;5;149;157;;;37;37
2017;16/11/2017;30. A8-0340/2017 Javi L¢pez ı 39 16/11/2017;1;47;9;57;17;39;1;57;;12;19;31;;33;;33;2;;32;34;1;11;4;16;;165;3;168;;3;149;152;;3;32;35
2017;16/11/2017;31. A8-0340/2017 Javi L¢pez ı 51 16/11/2017;6;38;13;57;2;52;1;55;;15;16;31;6;27;;33;3;;30;33;1;8;6;15;4;152;9;165;;4;146;150;2;;33;35
2017;16/11/2017;32. A8-0340/2017 Javi L¢pez ı 60/1 16/11/2017;2;3;52;57;3;4;48;55;;12;19;31;18;6;9;33;2;;31;33;2;4;10;16;;1;167;168;;;149;149;;;35;35
2017;16/11/2017;33. A8-0340/2017 Javi L¢pez ı 60/2 16/11/2017;38;4;15;57;19;34;2;55;;14;17;31;17;16;;33;4;;28;32;3;6;7;16;;140;25;165;;;148;148;3;;31;34
2017;16/11/2017;34. A8-0340/2017 Javi L¢pez ı 68/1 16/11/2017;;3;54;57;17;5;33;55;;14;17;31;;30;3;33;;;32;32;1;6;8;15;;2;166;168;;;146;146;;;35;35
2017;16/11/2017;35. A8-0340/2017 Javi L¢pez ı 68/2 16/11/2017;3;9;44;56;20;34;1;55;;14;17;31;;30;3;33;5;;26;31;2;10;4;16;3;155;10;168;;;147;147;;;35;35
2017;16/11/2017;36. A8-0340/2017 Javi L¢pez ı 72/1 16/11/2017;;3;54;57;5;;50;55;;12;19;31;6;7;20;33;;;32;32;1;4;10;15;;2;166;168;;;145;145;;;35;35
2017;16/11/2017;37. A8-0340/2017 Javi L¢pez ı 72/2 16/11/2017;2;44;11;57;1;53;1;55;16;12;3;31;;33;;33;;;30;30;2;10;2;14;;161;6;167;;1;143;144;;;33;33
2017;16/11/2017;38. A8-0340/2017 Javi L¢pez ı 73/1 16/11/2017;2;16;39;57;48;5;1;54;;13;18;31;;31;;31;6;;25;31;4;8;3;15;;2;166;168;;;144;144;;;34;34
2017;16/11/2017;39. A8-0340/2017 Javi L¢pez ı 73/2 16/11/2017;3;19;35;57;;54;1;55;;15;16;31;;32;;32;5;4;22;31;;7;8;15;2;136;30;168;;2;143;145;;;34;34
2017;16/11/2017;4. RC-B8-0634/2017 Am 4 16/11/2017;1;57;;58;4;54;3;61;2;15;16;33;;31;2;33;5;;34;39;4;13;;17;;173;1;174;;154;3;157;;;35;35
2017;16/11/2017;40. A8-0340/2017 Javi L¢pez ConsidÇrant L 16/11/2017;;47;10;57;19;34;2;55;10;2;19;31;1;15;16;32;;;31;31;2;8;4;14;2;161;4;167;;;142;142;;;33;33
2017;16/11/2017;41. A8-0340/2017 Javi L¢pez ConsidÇrant R 16/11/2017;1;48;7;56;18;35;1;54;;12;19;31;23;9;;32;1;;30;31;2;8;5;15;1;157;8;166;;;144;144;;;35;35
2017;16/11/2017;42. A8-0340/2017 Javi L¢pez RÇsolution 16/11/2017;4;11;39;54;18;33;2;53;;14;17;31;;29;;29;8;;20;28;1;11;3;15;18;4;136;158;;;137;137;2;;32;34
2017;16/11/2017;5. RC-B8-0634/2017 Am 5 16/11/2017;;58;;58;;54;5;59;12;5;16;33;19;12;2;33;;;39;39;8;9;;17;;172;3;175;2;153;2;157;1;;36;37
2017;16/11/2017;6. RC-B8-0600/2017 Am 2 16/11/2017;;50;7;57;5;55;1;61;;14;19;33;2;13;17;32;1;;38;39;1;9;7;17;1;175;;176;4;145;8;157;36;;1;37
2017;16/11/2017;7. RC-B8-0600/2017 Am 3 16/11/2017;;50;7;57;2;59;;61;;16;17;33;;32;;32;4;;35;39;;15;2;17;;176;;176;2;;155;157;;;37;37
2017;16/11/2017;8. RC-B8-0600/2017 Am 1 16/11/2017;1;57;;58;2;59;;61;13;19;1;33;2;14;17;33;2;1;36;39;3;9;5;17;;175;;175;4;147;6;157;;;37;37
2017;16/11/2017;9. A8-0345/2017 Cecilia Wikstrîm DÇcision d'engager les nÇgociations interinstitutionnelles 16/11/2017;3;5;49;57;1;56;4;61;;33;;33;6;27;;33;2;2;35;39;2;15;;17;25;30;122;177;5;7;144;156;;;36;36
2017;30/11/2017;1. A8-0372/2017 Jens Geier Vote unique 30/11/2017;1;;57;58;3;;56;59;;34;3;37;2;29;;31;24;18;3;45;4;9;1;14;;;193;193;;1;161;162;;;41;41
2017;30/11/2017;10. A8-0358/2017 Iskra Mihaylova Vote unique 30/11/2017;;;59;59;17;4;39;60;;21;15;36;16;14;2;32;2;3;40;45;2;4;9;15;;;192;192;1;;163;164;;;42;42
2017;30/11/2017;11. A8-0353/2017 Sofia Sakorafa Approbation 30/11/2017;;;59;59;16;;44;60;2;19;15;36;;7;25;32;;;45;45;;5;10;15;;;194;194;;2;162;164;;;42;42
2017;30/11/2017;12. A8-0354/2017 Sofia Sakorafa Approbation 30/11/2017;;;58;58;17;;43;60;2;18;16;36;;7;25;32;;;45;45;;5;9;14;;;193;193;;;165;165;;;42;42
2017;30/11/2017;13. A8-0355/2017 Sofia Sakorafa Approbation 30/11/2017;;;58;58;17;;43;60;4;17;15;36;;7;25;32;;;45;45;;5;10;15;;;194;194;1;;164;165;;;42;42
2017;30/11/2017;14. A8-0364/2017 Angel Dzhambazki Vote unique 30/11/2017;;;59;59;1;;58;59;16;;20;36;12;;20;32;;;45;45;1;2;12;15;;;194;194;;;165;165;;;42;42
2017;30/11/2017;15. A8-0362/2017 Angel Dzhambazki Vote unique 30/11/2017;;;58;58;;;60;60;16;;20;36;12;;20;32;;;45;45;;2;12;14;;;191;191;;;163;163;;;42;42
2017;30/11/2017;16. A8-0360/2017 Angel Dzhambazki Vote unique 30/11/2017;;;58;58;;;60;60;16;;19;35;10;;21;31;;;45;45;1;2;12;15;;;194;194;;;165;165;;;41;41
2017;30/11/2017;17. A8-0361/2017 Angel Dzhambazki Vote unique 30/11/2017;;;57;57;;;59;59;16;1;19;36;11;;21;32;;;45;45;1;2;12;15;;;193;193;;;165;165;;;42;42
2017;30/11/2017;18. A8-0255/2017 Peter Simon Am 2 30/11/2017;;;59;59;;5;54;59;1;33;2;36;4;12;16;32;;45;;45;4;7;4;15;;;193;193;1;1;163;165;;38;4;42
2017;30/11/2017;19. A8-0261/2017 Arnaud Danjean Am 5 30/11/2017;1;1;55;57;;1;58;59;1;35;;36;2;29;1;32;;39;6;45;1;12;2;15;1;;193;194;1;5;157;163;;41;1;42
2017;30/11/2017;2. A8-0379/2017 Jens Geier Am 1 30/11/2017;;57;1;58;2;47;10;59;;2;35;37;;1;31;32;2;42;1;45;;4;9;13;;193;2;195;;162;;162;;41;;41
2017;30/11/2017;20. A8-0302/2017 Gunnar Hîkmark Am 2 30/11/2017;;;59;59;;4;56;60;3;30;2;35;2;27;3;32;;41;3;44;1;11;3;15;;;193;193;2;;162;164;;;42;42
2017;30/11/2017;21. A8-0307/2017 C?t?lin Sorin Ivan Proposition de la Commission 30/11/2017;;;59;59;1;3;54;58;15;16;4;35;10;7;15;32;39;;6;45;3;4;8;15;;;190;190;;;163;163;;;41;41
2017;30/11/2017;22. A8-0306/2017 Lud?k Niedermayer Proposition de la Commission 30/11/2017;;;59;59;1;3;55;59;;16;18;34;;7;25;32;27;;18;45;4;4;7;15;;;192;192;;;161;161;;;41;41
2017;30/11/2017;23. RC-B8-0649/2017 ı 15/1 30/11/2017;;;59;59;;;59;59;4;14;17;35;3;20;9;32;;;45;45;2;7;6;15;;;191;191;;1;160;161;;;42;42
2017;30/11/2017;24. RC-B8-0649/2017 ı 15/2 30/11/2017;2;;56;58;20;28;10;58;5;13;17;35;8;20;4;32;;;44;44;2;5;8;15;6;155;30;191;;;158;158;;;41;41
2017;30/11/2017;25. RC-B8-0649/2017 ConsidÇrant M/1 30/11/2017;1;1;57;59;1;;58;59;17;1;17;35;3;21;8;32;;;45;45;1;3;11;15;;;191;191;;;161;161;;;42;42
2017;30/11/2017;26. RC-B8-0649/2017 ConsidÇrant M/2 30/11/2017;3;1;52;56;4;43;9;56;17;1;17;35;8;20;4;32;;;45;45;1;6;7;14;;6;179;185;;;159;159;;;39;39
2017;30/11/2017;27. RC-B8-0649/2017 RÇsolution 30/11/2017;6;;52;58;31;3;23;57;15;;19;34;25;5;2;32;1;;44;45;3;5;7;15;;;191;191;;;161;161;;;40;40
2017;30/11/2017;28. A8-0339/2017 Helga Stevens Am 5 30/11/2017;;58;;58;2;52;2;56;16;14;3;33;9;5;18;32;2;41;2;45;4;4;5;13;;190;;190;;159;1;160;;39;;39
2017;30/11/2017;29. A8-0339/2017 Helga Stevens Resolution de la commission EMPL 30/11/2017;;;58;58;13;6;32;51;3;10;17;30;17;7;8;32;3;;41;44;7;2;6;15;2;3;174;179;;;153;153;;;40;40
2017;30/11/2017;3. A8-0379/2017 Jens Geier Am 3 30/11/2017;;59;;59;1;2;56;59;;1;36;37;;1;31;32;1;41;3;45;;3;10;13;;193;2;195;;162;1;163;;41;;41
2017;30/11/2017;4. A8-0379/2017 Jens Geier RÇsolution 30/11/2017;1;;58;59;;6;53;59;1;1;35;37;;5;27;32;10;29;6;45;2;7;5;14;;;193;193;;;163;163;;;41;41
2017;30/11/2017;5. A8-0371/2017 Inese Vaidere Vote unique 30/11/2017;;;59;59;;;59;59;19;3;15;37;;7;25;32;;2;43;45;1;3;10;14;;;193;193;;;164;164;;;40;40
2017;30/11/2017;6. A8-0370/2017 Siegfried Mure?an RÇsolution 30/11/2017;;;59;59;4;;55;59;3;19;15;37;1;31;;32;19;20;6;45;4;8;1;13;;;194;194;;;165;165;;1;40;41
2017;30/11/2017;7. A8-0367/2017 Marie-Pierre Vieu Vote unique 30/11/2017;5;1;53;59;4;36;19;59;;21;16;37;;7;25;32;;;45;45;;4;10;14;2;2;191;195;;;165;165;;;41;41
2017;30/11/2017;8. A8-0366/2017 R?zvan Popa Vote unique 30/11/2017;5;1;52;58;4;37;19;60;;21;16;37;;7;25;32;1;;44;45;;10;3;13;2;1;190;193;;;166;166;;;40;40
2017;30/11/2017;9. A8-0359/2017 Siegfried Mure?an et Richard Ashworth Projet commun 30/11/2017;;;59;59;5;34;21;60;;35;2;37;1;29;2;32;3;41;1;45;;12;2;14;;;192;192;151;2;13;166;37;1;3;41
2017;12/12/2017;1. A8-0380/2017 Albert De· Am 1 12/12/2017;;;60;60;;1;53;54;;20;14;34;;7;18;25;10;12;17;39;1;6;7;14;;;176;176;1;;157;158;1;41;1;43
2017;12/12/2017;10. A8-0335/2017 Liisa Jaakonsaari Vote unique 12/12/2017;1;;61;62;;1;59;60;;18;19;37;9;20;;29;27;15;3;45;1;10;5;16;;;188;188;1;4;163;168;;;47;47
2017;12/12/2017;11. A8-0385/2017 Beatriz Becerra Basterrechea Am 3S 12/12/2017;1;4;56;61;1;31;27;59;;18;19;37;13;12;4;29;;45;;45;4;8;4;16;1;1;185;187;5;161;2;168;;47;;47
2017;12/12/2017;12. A8-0385/2017 Beatriz Becerra Basterrechea RÇsolution 12/12/2017;1;8;52;61;4;53;1;58;2;34;;36;;30;;30;36;9;;45;;16;;16;4;14;168;186;1;;168;169;;5;41;46
2017;12/12/2017;13. A8-0384/2017 Marietje Schaake RÇsolution 12/12/2017;;;60;60;3;2;46;51;;20;16;36;8;20;;28;2;43;;45;3;9;4;16;1;;175;176;;;167;167;;1;42;43
2017;12/12/2017;2. A8-0258/2017 Julie Girling Am 48 12/12/2017;;;62;62;;1;56;57;;21;14;35;18;10;;28;9;15;18;42;4;7;5;16;;;180;180;;;164;164;;;45;45
2017;12/12/2017;3. A8-0198/2017 Udo Bullmann et JosÇ Manuel Fernandes Am 4 12/12/2017;;62;;62;3;47;9;59;;1;35;36;3;;25;28;7;34;3;44;;5;9;14;;183;4;187;;166;;166;;47;;47
2017;12/12/2017;4. A8-0198/2017 Udo Bullmann et JosÇ Manuel Fernandes Am 3 12/12/2017;;1;61;62;4;11;44;59;;35;1;36;3;25;;28;8;36;;44;;11;5;16;1;3;183;187;;2;165;167;3;1;43;47
2017;12/12/2017;5. A8-0378/2017 Tiemo Wîlken Vote,  DÇcision d'engager des nÇgociations interinstitutionnelles 12/12/2017;3;31;28;62;7;5;48;60;1;32;4;37;4;7;18;29;4;36;4;44;;6;10;16;14;5;163;182;2;110;56;168;1;33;13;47
2017;12/12/2017;6. A8-0331/2017 Ji?° Ma?t†lka Vote unique 12/12/2017;;;62;62;;;60;60;18;;19;37;;5;24;29;;1;44;45;2;1;13;16;;;189;189;;;169;169;;;47;47
2017;12/12/2017;7. A8-0376/2017 Theresa Griffin Approbation 12/12/2017;;;61;61;;1;59;60;4;17;15;36;14;5;10;29;10;14;21;45;4;7;5;16;1;;188;189;1;;166;167;1;;46;47
2017;12/12/2017;8. A8-0386/2017 Christofer Fjellner Approbation 12/12/2017;;;61;61;4;;56;60;14;21;2;37;14;12;3;29;22;9;14;45;2;8;6;16;;;189;189;;;169;169;;;47;47
2017;12/12/2017;9. A8-0325/2017 Liisa Jaakonsaari Approbation 12/12/2017;1;;61;62;1;1;58;60;;18;19;37;9;20;;29;14;14;17;45;1;11;4;16;;;189;189;2;5;162;169;;46;1;47
2017;13/12/2017;1. B8-0676/2017 RÇsolution 13/12/2017;;61;;61;2;59;1;62;16;;23;39;5;1;28;34;;49;;49;3;9;5;17;;191;2;193;;173;;173;;48;;48
2017;13/12/2017;10. B8-0677/2017 ı 7 13/12/2017;;1;62;63;40;5;20;65;;23;16;39;;34;1;35;9;;40;49;4;8;5;17;;1;196;197;1;4;170;175;;;48;48
2017;13/12/2017;100. A8-0351/2017 Michael Gahler Am 23 13/12/2017;4;56;2;62;1;62;;63;2;5;30;37;2;32;1;35;23;23;1;47;3;11;2;16;1;189;1;191;7;154;3;164;2;;46;48
2017;13/12/2017;101. A8-0351/2017 Michael Gahler ı 37 13/12/2017;4;1;57;62;2;62;;64;;36;1;37;;35;;35;;43;3;46;;13;2;15;2;13;177;192;26;10;128;164;;46;2;48
2017;13/12/2017;102. A8-0351/2017 Michael Gahler ı 38 13/12/2017;5;1;56;62;2;62;;64;;36;1;37;;35;;35;;46;2;48;;15;1;16;1;11;182;194;25;11;127;163;;46;1;47
2017;13/12/2017;103. A8-0351/2017 Michael Gahler ı 39 13/12/2017;6;1;54;61;2;58;2;62;1;34;2;37;2;33;;35;;48;1;49;;14;2;16;1;23;168;192;25;17;121;163;;47;;47
